date,title,amount
2026-08-31,Dl*Uberrides,"13,99"
2026-08-31,Dl*Uberrides,"22,94"
2026-08-30,Rocha,"20,00"
2026-08-30,Rocha,"10,00"
2026-08-30,Dl*Uberrides,"20,00"
2026-08-30,Dl*Uberrides,"13,99"
2026-08-30,Dl*Uberrides,"164,14"
2026-08-25,Mercadolivre*Curtocir - Parcela 1/10,"52,44"
2026-08-25,Oxxo Fisher,"18,69"
2026-08-25,Mercado*Curtocircuito - Parcela 1/3,"31,03"
2026-08-24,Pagamento recebido,"- 1.008,24"
2026-08-24,Desconto Antecipação ,"- 78,96"
2026-08-24,Amazon - Parcela 5/12,"362,40"
2026-08-24,Amazon - Parcela 3/12,"362,40"
2026-08-24,Amazon - Parcela 4/12,"362,40"
2026-08-23,Dl*Uberrides,"13,80"
2026-08-23,Horusmultimarcas - Parcela 1/2,"75,00"
2026-08-23,Side Walk Sjc,"99,90"
2026-08-23,Sergio Augusto de Godo,"175,00"
2026-08-23,Restaurante,"56,86"
2026-08-22,Vmt*Lavateria,"15,21"
2026-08-22,Vmt*Lavateria,"15,21"
2026-08-22,Dl*Google Google,"9,99"
2026-08-22,Ec *Clicouconsulta,"49,90"
2026-08-21,Dl*Uberrides,"20,83"
2026-08-21,Oxxo Fisher,"12,90"
2026-08-20,Mercado*Mercadolivre,"42,15"
2026-08-20,Oxxo Fisher,"15,80"
2026-08-19,Pagamento recebido,"- 757,66"
2026-08-19,Pagamento recebido,"- 288,01"
2026-08-19,Desconto Antecipação ,"- 2,61"
2026-08-19,Desconto Antecipação ,"- 0,28"
2026-08-19,Desconto Antecipação ,"- 1,47"
2026-08-19,Desconto Antecipação ,"- 0,30"
2026-08-19,Desconto Antecipação ,"- 1,50"
2026-08-19,Desconto Antecipação ,"- 2,06"
2026-08-19,Desconto Antecipação ,"- 1,27"
2026-08-19,Desconto Antecipação ,"- 0,21"
2026-08-19,Desconto Antecipação ,"- 0,92"
2026-08-19,Desconto de antecipação (outros),"- 3,73"
2026-08-19,Desconto de antecipação (outros),"- 5,46"
2026-08-19,Desconto Antecipação ,"- 1,27"
2026-08-19,Desconto de antecipação (outros),"- 1,91"
2026-08-19,Shopee *Shpstecnologia - Parcela 8/10,"25,49"
2026-08-19,Shopee *Shpstecnologia - Parcela 10/10,"25,49"
2026-08-19,Shopee *Shpstecnologia - Parcela 9/10,"25,49"
2026-08-19,212 - Riachuelo - Spa - Parcela 2/3,"59,99"
2026-08-19,212 - Riachuelo - Spa - Parcela 3/3,"59,99"
2026-08-19,Parcelamento de Compra - Net Pgt*Fatura Claro - 8/8,"40,23"
2026-08-19,Parcelamento de Compra - Net Pgt*Fatura Claro - 6/8,"40,23"
2026-08-19,Parcelamento de Compra - Net Pgt*Fatura Claro - 7/8,"40,23"
2026-08-19,Shopee *Shpstecnologia - Parcela 8/10,"25,49"
2026-08-19,Shopee *Shpstecnologia - Parcela 10/10,"25,49"
2026-08-19,Shopee *Shpstecnologia - Parcela 9/10,"25,49"
2026-08-19,Htm*Web Treinamentos - Parcela 7/8,"8,28"
2026-08-19,Htm*Web Treinamentos - Parcela 8/8,"8,28"
2026-08-19,Pg *Universal Music St - Parcela 10/10,"11,39"
2026-08-19,Pg *Universal Music St - Parcela 9/10,"11,39"
2026-08-19,Mercado*Mercadolivre - Parcela 6/6,"36,33"
2026-08-19,Mercadolivre*Mercadol - Parcela 6/6,"36,66"
2026-08-19,Mercadolivre*Mercadol - Parcela 5/6,"36,66"
2026-08-19,Shopee *Supercheto - Parcela 6/9,"24,86"
2026-08-19,Shopee *Supercheto - Parcela 9/9,"24,86"
2026-08-19,Shopee *Supercheto - Parcela 7/9,"24,86"
2026-08-19,Shopee *Supercheto - Parcela 8/9,"24,86"
2026-08-19,Mercadolivre*Mercadol - Parcela 12/12,"8,85"
